date,Open,High,Low,close_price,Volume,MA7,MA20,MA50,MA100,RowNumber,trend,signal_for_swing,signal_for_investing
18-05-2023,886.549988,887.400024,850,860.55,646071,884.33,913.68,NULL,NULL,40,NA,Hold,NA
19-05-2023,839,903.549988,818.599976,896.95,2849747,883.56,911.88,NULL,NULL,41,NA,Hold,NA
22-05-2023,934,941.75,928.950012,941.75,460730,887.59,913.16,NULL,NULL,42,NA,Hold,NA
23-05-2023,988.799988,988.799988,988.799988,988.8,228535,900.9,918.24,NULL,NULL,43,NA,Hold,NA
24-05-2023,1025,1038.199951,952.599976,984.25,7440008,917.41,920.9,NULL,NULL,44,NA,Hold,NA
25-05-2023,982.400024,995,954.099976,970.65,1892394,931.19,923.2,NULL,NULL,45,NA,Short term Buy,NA
26-05-2023,979.549988,982,960,963.35,866198,943.76,925.51,NULL,NULL,46,NA,Hold,NA
29-05-2023,989.900024,989.900024,965.099976,977.85,3177944,960.51,926.86,NULL,NULL,47,NA,Hold,NA
30-05-2023,984.849976,984.849976,954,966.85,2694114,970.5,926.47,NULL,NULL,48,NA,Hold,NA
31-05-2023,960,998,933.75,977.7,6233565,975.64,928.25,923.01,NULL,49,NA,Hold,NA
01-06-2023,997.25,1011,984,993.95,4639202,976.37,930.67,924.43,NULL,50,Uptrend for short term,Hold,Hold
02-06-2023,992,992,975.900024,983.55,3707803,976.27,932.82,927.77,NULL,51,Uptrend for short term,Hold,Hold
05-06-2023,989.650024,995,983,987.85,3596959,978.73,936.35,930.56,NULL,52,Uptrend for short term,Hold,Hold
06-06-2023,990,996,980,991.85,4003295,982.8,940.78,932.57,NULL,53,Uptrend for short term,Hold,Hold
07-06-2023,1006.849976,1010,982,985.55,1247714,983.9,944.94,933.57,NULL,54,Uptrend for short term,Hold,Hold
08-06-2023,987,993.400024,971,976,636876,985.21,948.06,933.44,NULL,55,Uptrend for short term,Hold,Hold
09-06-2023,972,977,961.25,963.65,416990,983.2,951.47,932.13,NULL,56,Uptrend for short term,Hold,Hold
12-06-2023,968.950012,970,955,961.1,431395,978.51,956.09,931.65,NULL,57,Uptrend for short term,Hold,Hold
13-06-2023,961,963.900024,946.049988,955.3,476248,974.47,960.14,932.05,NULL,58,Uptrend for short term,Hold,Hold
14-06-2023,955,961,948.099976,957.65,381844,970.16,964.26,933.31,NULL,59,Uptrend for short term,Hold,Hold
15-06-2023,952.5,991,951,962.6,969057,965.98,969.36,934.94,NULL,60,Uptrend for short term,Hold,Hold
16-06-2023,967.950012,987,963.400024,975.05,1954444,964.48,973.26,937.69,NULL,61,Uptrend for short term,Hold,Hold
19-06-2023,982.849976,984,957.849976,960.35,430174,962.24,974.19,940.59,NULL,62,Uptrend for short term,Hold,Hold
20-06-2023,961,967,952,961.7,320086,961.96,972.84,942.7,NULL,63,Uptrend for short term,Hold,Hold
21-06-2023,963.950012,982,954.200012,977,4202611,964.24,972.48,944.25,NULL,64,Uptrend for short term,Hold,Hold
22-06-2023,979.700012,982.799988,967.450012,974.85,4562722,967.03,972.69,944.87,NULL,65,Uptrend for short term,Hold,Hold
23-06-2023,973,973,938,959.85,5559363,967.34,972.51,945.23,NULL,66,Uptrend for short term,Hold,Hold
26-06-2023,940,973.900024,925,968.45,6002771,968.18,972.04,945.77,NULL,67,Uptrend for short term,Hold,Hold
27-06-2023,970.950012,977.849976,956.099976,959.55,415940,965.96,971.68,945.71,NULL,68,Uptrend for short term,Hold,Hold
28-06-2023,959.849976,963.450012,897.700012,956.65,55121312,965.44,970.62,945.8,NULL,69,Uptrend for short term,Hold,Hold
30-06-2023,961.650024,966.599976,938.25,945.9,1326330,963.18,968.22,946,NULL,70,Downtrend for short term,Hold,Hold
03-07-2023,955.849976,956.950012,940,942.85,634378,958.3,966.19,946.2,NULL,71,Downtrend for short term,Hold,Hold
04-07-2023,942.900024,952.799988,938.450012,946,572039,954.18,964.09,946.8,NULL,72,Downtrend for short term,Hold,Hold
05-07-2023,946,956.200012,941,948.2,567900,952.51,961.91,948.02,NULL,73,Uptrend for short term,Hold,Hold
06-07-2023,950.950012,972.900024,948.400024,962.2,799351,951.62,960.74,948.64,NULL,74,Uptrend for short term,Hold,Hold
07-07-2023,962.799988,964.900024,946,951,585951,950.4,959.49,949.17,NULL,75,Uptrend for short term,Hold,Hold
10-07-2023,959.849976,973,935.25,959.45,828417,950.8,959.28,950.02,NULL,76,Uptrend for short term,Hold,Hold
11-07-2023,952,973,946,965.15,603865,953.55,959.49,950.3,NULL,77,Uptrend for short term,Hold,Hold
12-07-2023,963.049988,969.450012,950,954.55,550399,955.22,959.45,949.9,NULL,78,Uptrend for short term,Hold,Hold
13-07-2023,960,970,945,947.05,542919,955.37,958.92,950,NULL,79,Downtrend for short term,Hold,Hold
14-07-2023,952.950012,968.299988,945.950012,965.2,618578,957.8,959.05,950.39,NULL,80,Uptrend for short term,Hold,Hold
17-07-2023,970.150024,979,961,965.3,754573,958.24,958.56,950.88,NULL,81,Uptrend for short term,Hold,Hold
18-07-2023,968,1020,957.099976,973.75,2254479,961.49,959.23,952.01,NULL,82,Uptrend for short term,Short term Buy,Hold
19-07-2023,982,988,971.099976,979.65,735702,964.38,960.13,953.54,NULL,83,Uptrend for short term,Hold,Hold
20-07-2023,981.950012,991.700012,977.150024,985,821313,967.21,960.53,955.2,NULL,84,Uptrend for short term,Hold,Hold
21-07-2023,985,1000,979.700012,995.55,729192,973.07,961.57,956.84,NULL,85,Uptrend for short term,Hold,Hold
24-07-2023,998.950012,1004.950012,986.150024,989.15,479401,979.09,963.03,958.71,NULL,86,Uptrend for short term,Hold,Hold
25-07-2023,990,1088.050049,990,1088.05,3645365,996.64,969.01,963.1,NULL,87,Uptrend for short term,Hold,Hold
26-07-2023,1114,1184.849976,1100,1140.4,6346278,1021.65,978.05,968.42,NULL,88,Uptrend for short term,Hold,Hold
27-07-2023,1148,1172.5,1111.199951,1119.2,2025025,1042.43,986.18,973.3,NULL,89,Uptrend for short term,Hold,Hold
28-07-2023,1129,1134.800049,1085,1092.6,1524478,1058.56,993.52,977.94,NULL,90,Uptrend for short term,Hold,Hold
31-07-2023,1109,1137.900024,1080,1093.3,3152824,1074.04,1001.04,981.86,NULL,91,Uptrend for short term,Hold,Hold
01-08-2023,1115,1131.849976,1083.800049,1087.05,2143083,1087.11,1008.09,984.77,NULL,92,Uptrend for short term,Hold,Hold
02-08-2023,1087,1094,1045.050049,1052.45,1245613,1096.15,1013.3,986.04,NULL,93,Uptrend for short term,Hold,Hold
03-08-2023,1052.449951,1067,1028.050049,1036,2555083,1088.71,1016.99,987.08,NULL,94,Uptrend for short term,Hold,Hold
04-08-2023,1041.699951,1062.25,1008.150024,1012.55,924378,1070.45,1020.07,987.92,NULL,95,Uptrend for short term,Hold,Hold
